Algorithm,Accuracy,DPD,Profit,alpha_fair,threshold
Optuna NSGA-II,0.5000061268315397,0.0,0.5000061268315397,0.9856504541106007,0.39682210860460015
Optuna NSGA-II,0.7221267457640619,0.07694898171370355,0.4042284327871262,0.31171107608941095,0.4505038342123663
Optuna NSGA-II,0.6778603878897048,0.021398721424415696,0.30639059163748766,0.35949115121975517,0.4174367377057973
Optuna NSGA-II,0.7071374524021775,0.07534285514148013,0.4356728639567691,0.14008401523652403,0.5784119186699892
Optuna NSGA-II,0.5000061268315397,0.0,0.5000061268315397,0.9856504541106007,0.4440762565645051
Optuna NSGA-II,0.7149920504360772,0.08288894017122007,0.44712697552024455,0.35949115121975517,0.5157368967662602
Optuna NSGA-II,0.6843027512537029,0.04862593723269373,0.3914938134318528,0.6454722959071678,0.37084427176281953
Optuna NSGA-II,0.7071389841100624,0.049341053312024506,0.3106870322547046,0.05630327568183735,0.32542334011440943
Optuna NSGA-II,0.662861904280511,0.0678663816526177,0.4771576403121008,0.040728802318970136,0.6579309401710595
Optuna NSGA-II,0.6785726320561953,0.037991258929341444,0.37141159135258994,0.3308980248526492,0.4499482318094816
Optuna NSGA-II,0.7192884910532943,0.050686820467106784,0.2513900249055702,0.03142918568673425,0.36432322056699945
Optuna NSGA-II,0.5000061268315397,0.0,0.5000061268315397,0.9856504541106007,0.39682210860460015
Optuna NSGA-II,0.6742838499784028,0.07046006494648917,0.5064239828693791,0.03142918568673425,0.6852890157762445
PyMOO NSGA-III,0.6792894713463405,0.005219097373105312,0.25424819181884184,0.874119981695316,0.3566384747207745
PyMOO NSGA-III,0.6614251622844504,0.04639423359860841,0.536437798874501,0.09080311469261466,0.6849539913101008
PyMOO NSGA-III,0.6542843401249261,0.03239083385547109,0.5185673629810711,0.020210677259533932,0.6713203360883174
PyMOO NSGA-III,0.6785833540113897,0.019996244812078956,0.38575909911069045,0.8742217646571603,0.44932701029012756
PyMOO NSGA-III,0.6642940511529166,0.008749004644651984,0.3571559860675851,0.8595731941896312,0.4489046292766192
PyMOO NSGA-III,0.6850195905438481,0.045994900780123756,0.41007802519965814,0.8077972343329649,0.5259505729898819
PyMOO NSGA-III,0.5385990387001314,0.01012573180289744,0.5385990387001314,0.9524222250817468,0.6767382478820212
PyMOO NSGA-III,0.6992951080313571,0.020127523867088604,0.33147843508468816,0.43165365777628156,0.3144947593223189
PyMOO NSGA-III,0.6678537402774841,0.05218342136019604,0.5214377835574222,0.05720624735599278,0.634699384642295
PyMOO NSGA-III,0.6807185548029765,0.05726975815512139,0.4592795458792463,0.13674782679122183,0.6814218879249863
PyMOO NSGA-III,0.7299890023373862,0.073071552374111,0.10846789387102407,0.021248833391606853,0.3030770183021957
PyMOO NSGA-III,0.7099910241917943,0.054331184961830765,0.4242738938771509,0.12492367930564308,0.501943349248318
PyMOO NSGA-III,0.6871486645038951,0.017586870462781585,0.2764211951610285,0.8285588804154337,0.358479741145968
PyMOO NSGA-III,0.729995129168926,0.07387598248801934,0.4763979132011776,0.08219339559787908,0.5100840182508107
PyMOO NSGA-III,0.7171471634301679,0.047442290292522005,0.37072844963591306,0.056403685021673755,0.34284179845180807
PyMOO NSGA-III,0.5771904188608382,0.009964353213826946,0.5093204424797738,0.9643794619826829,0.6271506188078051
PyMOO NSGA-III,0.7121369469385753,0.031624014840628135,0.14774854257994752,0.4414162598577658,0.30002417743849624
PyMOO NSGA-III,0.648584855085117,0.007929030464529798,0.4843398185845181,0.9228876202825169,0.6769005718409035
PyMOO NSGA-III,0.6992935763234721,0.07439853125903627,0.5064592121507323,0.021219176863943204,0.686357286530803
PyMOO NSGA-III,0.7185747151789187,0.04364042024421542,0.3042630493853256,0.06923419623209545,0.3543350132488892
PyMOO NSGA-III,0.7442813686116293,0.07374512602920925,0.4014162171104025,0.21206613724896883,0.35693944901518815
PyMOO NSGA-III,0.7078451014450132,0.03649097365001969,0.19702818036166683,0.14177515641965677,0.34555440376409946
PyMOO NSGA-III,0.5750092668327039,0.022254335273275642,0.5607260908057702,0.8843038268265263,0.6650395711024965
PyMOO NSGA-III,0.7021394895736645,0.051368742256530965,0.38785600720515395,0.025062604403303435,0.39508340191808566
PyMOO NSGA-III,0.7035701047381852,0.026780160354586913,0.30354161497152554,0.1615591314046477,0.3693633884747724
PyMOO NSGA-III,0.5371684235356106,0.0037016898949845645,0.5335918856243088,0.9524222250817468,0.6767382478820212
PyMOO NSGA-III,0.7399895231180671,0.08586187458508492,0.46496371384020607,0.08578937226810729,0.5015011260511303
PyMOO NSGA-III,0.5157091960677994,0.0005530293720044238,0.49786479920841337,0.964413876364181,0.6966949480041329
PyMOO NSGA-III,0.7064190814041473,0.08239152881422156,0.506401007251105,0.10814610890926588,0.6387135510820119
PyMOO NSGA-III,0.66928282373412,0.05803758791492835,0.5335811636691142,0.03244116545044726,0.6892666329368216
PyMOO NSGA-III,0.6828583507182179,0.006391918471085408,0.23282725704815385,0.874119981695316,0.351952900529733
PyMOO NSGA-III,0.6621603820692149,0.010561635144011086,0.4050555550449862,0.8595266839991613,0.4484052728712865
PyMOO NSGA-III,0.6642986462765713,0.013945125748014922,0.38933410531410734,0.8594107398929535,0.4489046292766192
PyMOO NSGA-III,0.6807185548029765,0.013438093018432887,0.29499621668152426,0.8316786642239371,0.35194325010590477
PyMOO NSGA-III,0.6135945201618709,0.013986541210236056,0.506466870690157,0.9336233935963973,0.6809301476097511
PyMOO NSGA-III,0.7271384939635391,0.07296701323488401,0.3806814874721612,0.05609924902586352,0.3390371440172141
PyMOO NSGA-III,0.6942894866634194,0.10097015683564363,0.5264296195543955,0.021219176863943204,0.6899343633696632
PyMOO NSGA-III,0.6664384421918127,0.024050050569166398,0.4307392328594229,0.9236854382828926,0.5791224983417802
PyMOO NSGA-III,0.7021333627421248,0.045844026272680694,0.3628447491521997,0.104416903092586,0.3849902473113913
PyMOO NSGA-III,0.6949925405826004,0.05289344898784614,0.4521249383487576,0.057302466699256795,0.6426685127072157
PyMOO NSGA-III,0.6021649159245542,0.03653156822644441,0.5307260601716125,0.9189077628362993,0.624472927356207
PyMOO NSGA-III,0.6250210609834177,0.022841002115799227,0.5036178940241949,0.9212342962237154,0.686345946608868
PyMOO NSGA-III,0.660711386410075,0.0376901274651287,0.5321474850888238,0.02340642224655687,0.6767382478820212
PyMOO NSGA-III,0.674302230473022,0.027195552055920613,0.4315035550940009,0.8289806547144402,0.5791224983417802
PyMOO NSGA-III,0.6492940358358377,0.015058674440027906,0.4779188991309089,0.918808669503792,0.6769005718409035
PyMOO NSGA-III,0.6571501655776224,0.015520492400744795,0.43220354559741203,0.924533250698405,0.638173301066751
PyMOO NSGA-III,0.6478664840870868,0.004269832872870823,0.45149387470016816,0.8721764196524362,0.5807013726881083
PyMOO NSGA-III,0.7278476747142598,0.06834724961382693,0.30276810248963804,0.131632319609021,0.3104690476657661
PyMOO NSGA-III,0.6707333511011448,0.04087701204077543,0.45650102777599083,0.8083112321658582,0.6726037644974107
PyMOO NSGA-III,0.6564379214111319,0.01804865167055496,0.46004233640593933,0.9458144591990986,0.6767384558868805
PyMOO NSGA-III,0.6957170384121704,0.0357073169120235,0.36358915918427365,0.8083112321658582,0.3458120294143894
PyMOO NSGA-III,0.7278599283773394,0.05524793363582118,0.2778058590890014,0.021248833391606853,0.3104690476657661
PyMOO NSGA-III,0.7207083842626205,0.0652972657716439,0.452820333728514,0.03565059731249037,0.5100840182508107
