Algorithm,Accuracy,DPD,Profit,alpha_fair,threshold,fp_weight
PyMOO NSGA-III,0.6885716211289914,0.027696597290516285,0.41713766684128134,0.10410796634032793,0.3344398212987172,2.9404486231112026
PyMOO NSGA-III,0.5000061268315397,0.0,0.5000061268315397,0.9909093936719092,0.41339758544604865,5.245410201612537
PyMOO NSGA-III,0.6678629305247937,0.029718466457809223,0.4250336209880741,0.36937063977409834,0.35104790291855736,3.4988223483214513
PyMOO NSGA-III,0.7328517643743128,0.10217151975021405,0.5757138524597697,0.043277872410120315,0.3201868708881061,1.6651450375691628
PyMOO NSGA-III,0.7121338835228057,0.04292118747952093,0.2835084075445804,0.14513584550675737,0.31309910075437475,1.3852240354287155
PyMOO NSGA-III,0.6742838499784028,0.03803784723804359,0.5885847938168015,0.04315926163476988,0.3375051853895078,4.9568468013146045
PyMOO NSGA-III,0.6742823182705179,0.030281559957310817,0.549287296321144,0.0287453326881117,0.41339758544604865,5.224524877790531
PyMOO NSGA-III,0.711424702772085,0.02665835478595015,0.3400161748352648,0.04324385908191686,0.33179902827246716,1.6799579708609342
PyMOO NSGA-III,0.7321349250841673,0.07075588697121854,0.36782586319397853,0.050145598701222434,0.3140878919891817,1.042083525682758
PyMOO NSGA-III,0.6735884545986467,0.015049225227408721,0.398616255096758,0.8832812879805612,0.382992305213227,1.2881574353156011
PyMOO NSGA-III,0.6814262038458122,0.04003295147350274,0.5600000612683154,0.022639813974087215,0.4027463781125436,5.209266067612267
PyMOO NSGA-III,0.6457144345087659,0.029257534062510273,0.5814592887361266,0.1356273502667299,0.3456523477648405,4.85115626621813
PyMOO NSGA-III,0.7235711462995469,0.06255028565875832,0.5164306304815995,0.029017420064534782,0.35662936833691966,1.7178469753485095
PyMOO NSGA-III,0.6135669494199422,0.0074563952621058876,0.5564265867727833,0.11367990954115689,0.36345172211967647,7.448846667234749
PyMOO NSGA-III,0.689277738463942,0.046474400845127384,0.5821424304528034,0.03424844203075361,0.34551966006732016,3.7571209159576693
PyMOO NSGA-III,0.7392788106594615,0.08559649024676512,0.3928447797863574,0.0779247596273855,0.32948248529295704,1.042083525682758
